class,other_class,cosine_similarity
cow,cow,1.0009765625
diningtable,sheep,0.6767578125
diningtable,pottedplant,0.68359375
diningtable,cow,0.70263671875
diningtable,person,0.71240234375
diningtable,sofa,0.7236328125
diningtable,aeroplane,0.73291015625
diningtable,tvmonitor,0.74267578125
diningtable,bicycle,0.74462890625
diningtable,cat,0.7451171875
diningtable,horse,0.74560546875
diningtable,bird,0.74609375
diningtable,motorbike,0.75048828125
diningtable,bus,0.75244140625
diningtable,dog,0.7578125
diningtable,bottle,0.759765625
diningtable,boat,0.76220703125
diningtable,train,0.76806640625
diningtable,chair,0.77783203125
diningtable,car,0.79443359375
diningtable,diningtable,1.0
dog,chair,0.73876953125
dog,sofa,0.74267578125
dog,pottedplant,0.751953125
dog,diningtable,0.7578125
dog,tvmonitor,0.76220703125
dog,aeroplane,0.7724609375
dog,motorbike,0.7880859375
dog,bicycle,0.7978515625
dog,bottle,0.798828125
dog,bus,0.80029296875
dog,sheep,0.8046875
dog,train,0.81640625
dog,person,0.81689453125
dog,boat,0.8203125
dog,bird,0.8515625
dog,cow,0.853515625
dog,car,0.859375
dog,horse,0.86328125
dog,cat,0.89697265625
dog,dog,0.99951171875
horse,sofa,0.716796875
horse,pottedplant,0.73046875
horse,chair,0.73828125
horse,diningtable,0.74560546875
horse,tvmonitor,0.74853515625
horse,aeroplane,0.779296875
horse,bottle,0.77978515625
horse,sheep,0.77978515625
horse,bus,0.78662109375
horse,person,0.7900390625
horse,train,0.79833984375
horse,boat,0.80029296875
horse,motorbike,0.8095703125
horse,bicycle,0.810546875
horse,car,0.8330078125
horse,cat,0.8349609375
horse,bird,0.8369140625
horse,cow,0.8603515625
horse,dog,0.86328125
horse,horse,1.0
motorbike,sheep,0.6962890625
motorbike,sofa,0.70556640625
motorbike,pottedplant,0.7216796875
motorbike,cow,0.73193359375
motorbike,person,0.73583984375
motorbike,diningtable,0.75048828125
motorbike,chair,0.7509765625
motorbike,tvmonitor,0.7587890625
motorbike,aeroplane,0.77099609375
motorbike,bus,0.77197265625
motorbike,bird,0.7783203125
motorbike,bottle,0.77880859375
motorbike,train,0.77978515625
motorbike,cat,0.77978515625
motorbike,dog,0.7880859375
motorbike,boat,0.7939453125
motorbike,horse,0.8095703125
motorbike,car,0.8427734375
motorbike,bicycle,0.8828125
motorbike,motorbike,1.0
person,pottedplant,0.697265625
person,chair,0.708984375
person,sheep,0.71142578125
person,diningtable,0.71240234375
person,sofa,0.71435546875
person,motorbike,0.73583984375
person,aeroplane,0.74169921875
person,tvmonitor,0.74755859375
person,bicycle,0.75146484375
person,bottle,0.75341796875
person,bus,0.75390625
person,cow,0.76708984375
person,bird,0.77783203125
person,boat,0.77978515625
person,train,0.78125
person,horse,0.7900390625
person,car,0.80615234375
person,cat,0.8154296875
person,dog,0.81689453125
person,person,0.99951171875
pottedplant,sofa,0.68212890625
pottedplant,diningtable,0.68359375
pottedplant,sheep,0.69189453125
pottedplant,tvmonitor,0.6962890625
pottedplant,person,0.697265625
pottedplant,chair,0.6982421875
pottedplant,cow,0.701171875
pottedplant,bus,0.7060546875
pottedplant,aeroplane,0.70849609375
pottedplant,train,0.71484375
pottedplant,bicycle,0.7197265625
pottedplant,motorbike,0.7216796875
pottedplant,horse,0.73046875
pottedplant,cat,0.751953125
pottedplant,dog,0.751953125
pottedplant,boat,0.75341796875
pottedplant,bird,0.75341796875
pottedplant,bottle,0.76025390625
pottedplant,car,0.76171875
pottedplant,pottedplant,0.9990234375
sheep,sofa,0.66650390625
sheep,tvmonitor,0.67138671875
sheep,chair,0.67431640625
sheep,diningtable,0.6767578125
sheep,pottedplant,0.69189453125
sheep,motorbike,0.6962890625
sheep,aeroplane,0.70751953125
sheep,person,0.71142578125
sheep,bus,0.71240234375
sheep,bicycle,0.71337890625
sheep,bottle,0.7197265625
sheep,boat,0.74072265625
sheep,train,0.7412109375
sheep,car,0.7490234375
sheep,horse,0.77978515625
sheep,cat,0.7841796875
sheep,bird,0.78564453125
sheep,dog,0.8046875
sheep,cow,0.82421875
sheep,sheep,1.0
sofa,sheep,0.66650390625
sofa,pottedplant,0.68212890625
sofa,bird,0.7021484375
sofa,tvmonitor,0.70263671875
sofa,bicycle,0.7041015625
sofa,motorbike,0.70556640625
sofa,cow,0.7080078125
sofa,person,0.71435546875
sofa,horse,0.716796875
sofa,aeroplane,0.7177734375
sofa,diningtable,0.7236328125
sofa,train,0.728515625
sofa,bottle,0.73046875
sofa,cat,0.7373046875
sofa,dog,0.74267578125
sofa,boat,0.75146484375
sofa,chair,0.7587890625
sofa,bus,0.7607421875
sofa,car,0.76171875
sofa,sofa,0.99951171875
train,pottedplant,0.71484375
train,chair,0.7255859375
train,sofa,0.728515625
train,sheep,0.7412109375
train,cow,0.75927734375
train,tvmonitor,0.76025390625
train,diningtable,0.76806640625
train,motorbike,0.77978515625
train,person,0.78125
train,bottle,0.7900390625
train,bicycle,0.79150390625
train,cat,0.79638671875
train,horse,0.79833984375
train,bird,0.80126953125
train,dog,0.81640625
train,aeroplane,0.82568359375
train,boat,0.83984375
train,car,0.85107421875
